,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,34.71,35.75,3052358,3143901,1.99,0.07,0.57,179717,6389,51547,11495865,9032488,78.57
1,INTERIOR,34.11,37.49,5330252,5858341,2.57,0.07,0.85,416311,11581,137116,20258909,16191014,79.92
