,distrito_nombre1,Alianza Frente para la Victoria                                                                     _perc,Alianza Frente Amplio Progresista                                                                   _perc,Alianza Frente para la Victoria                                                                     _votos,Alianza Frente Amplio Progresista                                                                   _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,53.04,17.35,4269779,1396822,2.86,0.05,0.68,239002,4157,57049,10223971,8351040,81.68
1,INTERIOR,54.51,16.58,7323244,2227696,3.13,0.14,1.06,439722,19764,148981,18160304,14042479,77.33
