,distrito_nombre1,FRENTE DE TODOS_perc,JUNTOS POR EL CAMBIO_perc,FRENTE DE TODOS_votos,JUNTOS POR EL CAMBIO_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,50.86,31.73,4328586,2700821,3.01,0.13,0.71,266593,11323,63255,11697664,8852203,75.67
1,INTERIOR,48.25,33.9,7293842,5124387,3.1,0.15,1.49,492395,24429,236764,21722012,15871811,73.07
