,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,30.92,37.58,2431783,2955620,4.03,0.06,0.71,332619,4577,58277,11288035,8259688,73.17
1,INTERIOR,29.59,38.86,4164131,5469129,4.4,0.17,1.27,657204,24865,190010,20635929,14944336,72.42
