,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,23.35,43.51,2152922,4012045,2.3,0.12,0.64,218348,11784,60476,12279294,9511733,77.46
1,INTERIOR,33.57,33.0,5731414,5633938,1.91,0.1,0.93,335813,18148,164388,23130786,17588942,76.04
