,distrito_nombre1,FRENTE DE TODOS_perc,JUNTOS POR EL CAMBIO_perc,FRENTE DE TODOS_votos,JUNTOS POR EL CAMBIO_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,51.12,36.65,4686873,3360179,1.41,0.15,0.64,132255,13718,60113,11421274,9374583,82.08
1,INTERIOR,46.45,42.42,7786836,7110428,1.55,0.11,1.0,267496,18262,172095,21466526,17220920,80.22
