,distrito_nombre1,ALIANZA FRENTE PARA LA VICTORIA_perc,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO_perc,ALIANZA FRENTE PARA LA VICTORIA_votos,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,49.2,9.32,3814625,722374,4.46,0.13,0.89,366048,10329,73401,10417247,8202311,78.74
1,INTERIOR,50.56,13.83,6726078,1839561,3.22,0.72,1.36,452497,101294,190589,18435906,14048193,76.2
