,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,23.92,34.09,1863297,2655039,5.23,0.14,0.83,433974,11723,69044,12271680,8303910,67.67
1,INTERIOR,35.61,25.8,5253055,3805650,4.55,0.15,1.43,714368,24127,223997,23133333,15712866,67.92
